nombre,productos,precio,descripcion,imagen
🔊🎒 Kit Power Play,"TMPS 235,TH-239,A2812,""SIN 531
""",30,"Conectividad, energía y estilo para quienes se atreven a más.
El Kit Power Play es una combinación perfecta de tecnología, movilidad y funcionalidad, creado para acompañar a personas activas, creativas y con una actitud vibrante. Pensado para aquellos que no solo trabajan, sino que también inspiran, este kit es ideal para regalar en eventos especiales, reconocimientos o programas de alto rendimiento.
Incluye:
Termo de Acero Inoxidable con Manga de Silicón (20 oz)
Audífonos Inalámbricos Touch
Bocina Bluetooth Karaoke con Luces LED y 2 Micrófonos
Mochila Multicompartimentos para Laptop 15”",image component recomendado-ocaciones-8-800x80045.png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/7PAm_Xd3iUpQzHnRq7UQeQ/-XvxXazUeWe2fLDQuvqRNReSS0qmoTGSrwR21MoVc5rYpCGyTakEY0BRUsMPRUtKeCvszhk-tdXDRNtIKl-evNwzlIdRY1_3uZAWk-sKWbWyx9JRhWlEgbj3uykWDrb7lHPllfFnTV-d31EhZIuCJ3Ql7JF_CFzWY1SUWYFL5PMwdeTDqPATQEbqq0XOOTJH5vbfbIzDgUPhpoMTUGA-Qg/ELlDiOp-PPSzBqbcoSR9MFJHjnq_NbrdhM9hdQ_8jN0)
🔊🎧 Kit SoundForce,"ST-S77286,PC-117117,Ma-Ren",30,"Conectividad, potencia y estilo para acompañarte en todo momento.
El Kit SoundForce está diseñado para quienes disfrutan del buen sonido y la funcionalidad en movimiento. Perfecto para trabajo híbrido, entretenimiento o actividades creativas, este set reúne versatilidad, potencia y presentación ejecutiva.
Incluye:
Bocina Inalámbrica STF Rogue Mini (5W)
Audífonos Bluetooth de Diadema Plegables Soundia | Perfect Choice
Maletín Ejecutivo","""ChatGPT Image 8 may 2025, 05_06_14 p.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/RisQSGpnJF_L_8Z5Hbtbyg/4OJMASv-MSmBeYbDEn12rICKBby-xupsTy4h9KFOMiaVlEex_hfozPsuTAarhifZ2S7LbIJKgQmNuSXevtuzI1YdBlXirr85Kn8-YnXYfjuisU-D0ZExWFyxFC8QrrGHxkzSEdksZruth8cIyRp4uCcgNS5lBi9UoPNcDv7HV_vRuXmaOxo9wFFpf6RrtaCW/-TZjNcnaZHVEfcYhedpr0U4Ljq9moPuDfq2s9Kn5ujQ)"""
🎧✨ Kit Urban Mood,"TH-200,TE-140,TH-239,BL 212",30,"Estilo vintage, tecnología actual y funcionalidad para el día a día.
El Kit Urban Mood es la mezcla perfecta entre lo retro y lo moderno, pensado para quienes valoran el diseño, la tecnología y la practicidad en su estilo de vida. Es ideal como regalo de bienvenida premium, incentivo corporativo o detalle especial para clientes y colaboradores que están en movimiento, sin perder el buen gusto.
Incluye:
Bocina Vintage con Lámpara LED Táctil
Termo de Acero Inoxidable 500 ml 
Audífonos Inalámbricos Touch
Mochila de Curpiel Ejecutiva",image component recomendado-ocaciones-8-800x80047.png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/p4yOUBVydT9zPc8ZItd5-Q/VHTWu8CFjJumVtiEAiv30-5T_5PvcnWwWfDzwf9CvlEplpDhPqfJ2-LSB7_zk1RacB_T3ED55dy4BVI8Tfow1DkkhYiDpiKZWVEU4pyxf0OO6ufTzgcrE1O1Qwu77kUX1TmENF_yfp206p7plab97oJv2m7rMzhqrEjfOWhWXARC6MG-XHV8_HTOnpwyTsjNFf-fyePMgEhG5tyyMnvtNw/5z_-pLBTIbUgnZHyo2uEQVVkJ48JToQcWkmlr3fo0Tw)
🎧🔋 Kit Proactivo 360,"TH-167,CRG 043,RQ 1002-,TX-193",30,"Tecnología, movilidad y estilo en un solo set.
El Kit Proactivo 360 está diseñado para profesionales que necesitan estar siempre conectados, organizados y preparados. Combina herramientas clave de productividad, conectividad y transporte en una presentación práctica, elegante y lista para acompañarte en cualquier jornada.
Incluye:
Audífonos Siem
Power Bank Estocolmo
Bolígrafo Roller Ball Premium
Backpack Porta Laptop en Poliéster y Jacquard","""ChatGPT Image 8 may 2025, 05_17_20 p.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/BWt7cWGZZbXMWfYhu3l7kQ/81bztSAKfHJ82Jo50b4RKI7WNBxwE3lJR9xDbAbmIUcsKyjLen71nWq5IK9ag5HrePzSb9QBADycJqZ6CBODkbZ-jqECbdrtTS4bUg80SUKpprUEQ7IFobwzFcVDlgH09ld5FUGx1dJ6wyQugNg9JnWWXwSsEPfX9Xa0Q40Om6pQqzZ_g0yNsyxKaeQPJzSB/O1pobrC2ev4wjvEfD8lYGYNC585reXx7fXEKJ9PYxzs)"""
🎧🖋️ Kit Elementum,"SO 153,ari-met,TE-105,SIN 116",30,"Equilibrio entre tecnología, funcionalidad y estilo.
El Kit Elementum combina lo esencial para el día a día profesional con detalles que marcan la diferencia. Diseñado para quienes valoran la eficiencia, la elegancia y la tecnología práctica, este set es ideal para programas de bienvenida, regalos ejecutivos o reconocimientos especiales.
Incluye:
Audífonos Inalámbricos con Estuche Recargable
Bolígrafo Metálico Premium con Textura Ahulada
Termo de Acero Inoxidable 500 ml con Asa de Silicón
Mochila Masai Ejecutiva",image component recomendado-ocaciones-8-800x80031.png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/-rI1cU0wWT94GrHLADNtgQ/-tpefG9flOdL2hyxwP5yYvqhMoTW_02uf9HvMDJLuswa3F7MmTHvsxLaciG3hku0VgN3mSp2XHysktrkVEPKY-n3Bro5YQj9H5ufm8OvoFfPElwEZhjVt_uJoQ0wSjlgeopsVxEgCxyLXDhVgmvwp5YiOw5JfXvjMpGRK5w2cmAIeWttStpQhwPTL2EsmV6INjzZPGCyWgcirNXTGd3OAg/BlrsB7tu_atbsK6KRolL8eWtP7B8uIloUSv5l-nRwEE)
🎒🖋️ Kit ProCore,"TE-141,LB-091,dak-met,TX-145",30,"Diseñado para avanzar con propósito y estilo.
El Kit ProCore reúne herramientas clave para un día productivo y bien acompañado, con un enfoque funcional, moderno y profesional. Ideal para ejecutivos, equipos de alto desempeño o colaboradores en constante movimiento, este set ofrece soluciones prácticas que elevan la experiencia diaria, desde la oficina hasta cualquier lugar.
Incluye:
Termo de Acero Inoxidable 850 ml
Libreta Ejecutiva de PU con Cartulina
Bolígrafo Metálico Roller Premium
Backpack Ejecutiva Repelente al Agua con USB",image component recomendado-ocaciones-8-800x80040.png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/HZVRxbxSIlXBIgsyKQVSTg/P8Q2ZSnQkd_XyMb_GdSi_7NzLlrk6n44ow6eflCpdh3LVan8p3ICx1DHvllcDqfLLKgooNsLJYdNWDxKlS-kEPglzGlMLOm4_fqoFJydX-87ixBY70RPVEk2_3gBXE5S8U7huSBJfaBh4SlETvqfqC0yp1IcNEA6boofNwT9XX3Z2GhmDzKc_cJaGFAiEnSyheTWN3pmIZE21ouErSbjRA/vS2l21IU1EFDjP8wHJuNQxor9JnOOQ9D7SbRpK7HOqQ)
🔋📚 Kit SmartLite,"TH-219,TH-203,bol-met,A2894,ACC 003",30,"Tecnología práctica para inspirar, crear y conectar.
El Kit SmartLite está pensado para quienes necesitan energía, funcionalidad y versatilidad en su día a día. Perfecto para jornadas intensas, trabajo remoto, estudio o viajes, este set combina conectividad, sonido, escritura y luz portátil en una presentación moderna y compacta.
Incluye:
Cargador Harju
Bocina Daga
Bolígrafo Bold
Lámpara de Lectura Plegable Multifunción
","""ChatGPT Image 8 may 2025, 05_20_46 p.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/ot18tH67LHKQMEgC2nDeLA/9mD-PcdfG5iJf9WNfunAJrd2qDUBcoTIWtxpjQs24wwIn1LhTgg5GedekmkBo2jAZwWCWVzPkGwvqAWke6p2mGOyzkbc9klOSDE8fRq_fe4nhGWnamRkf8MkznZkeHM9LQ_P5lAkyvhgsGtYxZCK0bOjsSx5CVOFsusj069kEppPlBPQFIpn5yoQwDMGcyIp/kTCLDuxEPIiNIX5M0s_BGLNqmHJ2CkPoqDN4oLVlUQ0)"""
⌚🔋 Kit Executive Tech,"PC-270171,TEC175,Ma-Ren",30,"Potencia, elegancia y control en la palma de tu mano.
El Kit Executive Tech está diseñado para profesionales que necesitan estar conectados, con energía y estilo en todo momento. Este set de alta gama combina tecnología avanzada, soluciones de energía y movilidad ejecutiva en una presentación ideal para quienes lideran con visión.
Incluye:
Smartwatch Citrine con Pantalla AMOLED Siempre Encendida
Power Bank Súper de 20,000 mAh
Maletín Ejecutivo","""ChatGPT Image 8 may 2025, 05_23_22 p.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/uhjI9XIjAdKcvZRkzMWcRw/E2Jfd23BsPyC4I459YMm7sFHlx7TmrRywtB76xx0tiTyosQ_5mZnl3neHnqeuONFdTdgLqo08lhq7jhSYYzEUVLRLJBVcR-ui33AiFFMVNmMlvxnmb-dy7mpCS8lBOr6YNHXCaE68j9F6sbjF83-qs5Kxqy50tdRqr94B0NwOSQU-mGw3eTkjqZy5MW8dFFl/_uqWkgLf7dG6Lw4qUz9_hCllzaqGzK0qDEeUWuuiivI)"""
🎧🖊️ Kit Signature Sound,"RS-H62398,NW2122755,Ma-Ren",30,"Donde el estilo ejecutivo se encuentra con la experiencia auditiva.
El Kit Signature Sound es una combinación de elegancia, tecnología y presencia. Diseñado para profesionales que valoran la calidad, el diseño icónico y los detalles que marcan la diferencia, este set es perfecto para ejecutivos, socios estratégicos o como obsequio corporativo de alto nivel.
Incluye:
Audífonos Inalámbricos Over Ear | RollingStone by STF
Bolígrafo Parker Mono P Gold Ballpen-Med. Blue
Maletín Ejecutivo","""ChatGPT Image 8 may 2025, 05_32_23 p.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/yhS4DCvW85V0skEH8EjH_A/5mrCV__E4465-9Byw1C30JfcGSk0bGy0oAeRyH8b0kf4Ea9qd7PgvZgmRkzvuvxEJCM84svjQ3Vy4TPoYaUm-QjS-qylir9rq3-4Vd3lQbRXiIpDJ9R2LQ1Cd1AB3307Wuq_L87AFckjcM5ubJU0iCsdWc5b3L69VMhpwz2V6TyZadb6a25MQf_Z-5QkBzoy/vZhk2iFsh8L8P0uftUe7aCo_M8ZJZgQoxm5ptfl_P_s)"""
🎧🔋 Kit PowerSync Pro,"HPB-601 V2,ST-A36748,Ma-Ren",30,"Potencia, autonomía y conectividad donde quiera que vayas.
El Kit PowerSync Pro está diseñado para quienes necesitan mantenerse productivos y conectados sin interrupciones. Ya sea en reuniones, viajes o jornadas creativas, este set brinda un equilibrio perfecto entre rendimiento, funcionalidad y estilo profesional.
Incluye:
Audífonos Inalámbricos con Micrófono Vorago 601 V2
Power Bank STF Premium 20W – 20,000 mAh
Maletín Ejecutivo","""ChatGPT Image 8 may 2025, 05_35_15 p.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/Dm2fNiIz6ZZbuNNbTORP8w/XZTrD7pwe56gZ-3qhnKW9tL76NXAocJg94wUHJgo4BDRzRmlaRcmYLl4jpW69NmH0-jFqzlYYYHHFn4HmvpjNyNseIxvWW3tPvTs-zmsZR8V9fPn8CKhkQ1p8JG0AYyxHvh3OuNfrKXfH6B-Uv693YChmkUzfW4XJyKp5PIw5Vi5U031KjmwHvoHKFmEikk9/4RTUcXDTphvq7ZhBMm53DOfp3_1bNnsSW6u333zliOA)"""
⌚🎧 Kit TechMaster,"ST-W08946,BB-H78824,Ma-Ren",30,"Conectividad total, rendimiento superior y estilo ejecutivo.
El Kit TechMaster reúne tecnología de alto desempeño y diseño elegante en un set pensado para quienes lideran desde cualquier lugar. Ideal para profesionales digitales, creadores de contenido o ejecutivos en constante movimiento, este kit ofrece poder, comodidad y presencia.
Incluye:
Smartwatch STF Kronos Iron (2.1” AMOLED)
Audífonos Inalámbricos On-ear Billboard Soul ANC
Maletín Ejecutivo","""ChatGPT Image 8 may 2025, 05_37_25 p.m..png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/JFOt2xoE3nKAm0QwaaSu_g/FgVxNtG59T2UL_moRjQVzkxEAVkGsaiRbLMNpGDvX-7AI5k0Na20-OyjSj96CGD8jJ-YlK5r-HGeCzpfSDxbxI8Ho9ZM7cL_vxUA8QAuVjGV604ZhDcQvKIWVU1NQfN4pwxvBzxBrTJn82cPcdd5fcQRdd8qcykoSU7QpXb1uEJmJdPgLpcX4gsakaAfu5um/v2r0DdRoq5IidaAL4iOXmM0DiobUnTXjVKc8zgk3kOw)"""
☕✒️ Kit Inspiración Diaria,"TE-20,lib-flm,EC-03,ACC 003",30,"El Kit Inspiración Diaria fue diseñado para acompañar rutinas exigentes con productos que elevan cada momento: desde el primer sorbo de café hasta la última nota escrita. Es ideal como regalo ejecutivo, de bienvenida o reconocimiento, transmitiendo atención al detalle y una experiencia premium desde el primer instante.
Incluye:
Vaso Rambler® 20 oz.
Libreta Ejecutiva 80 Hojas
Pluma LAMY®",image component recomendado-ocaciones-8-800x80057.png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/kwEIaT0-40Vkig2NDti-YQ/Gzf1A12Jf9Fs4s0LSl0cjHS0uXxznjO2DOqI6YKYIgTCEDgQUip7BrL32--vBvc26j5EbR4-RpEtgeBFifP6TZbeeAUjcCyO9WSGOKLq4iEfBZtlK1SEWTlxJWciZxaL3lc7Ts_jIBFArwgeMmlfOwd_KCCoMXqNOeKnvQ4XO3Q-HaTBAG_3YoiJWKW4pJvvj-vo2TGBKJp5E_gXugIgSg/giXpQvrOU_AcrxkLeg3K9eBr8g-ySNHbKAVoMEvbkAA)
🔊☕ Kit Momentum,"TE-30,ST-S77286,LO-03 ,ACC 003",30,"El Kit Momentum fue creado para quienes viven al máximo, combinando diseño, tecnología y utilidad en un solo set. Ideal para colaboradores en movimiento, creativos, líderes o como un regalo corporativo memorable, este kit ofrece lo esencial para disfrutar, anotar y escuchar con estilo.
Incluye:
Vaso Rambler® 30 oz con tapa MagSlider™
Bocina Bluetooth Rogue Mini
Bolígrafo Metálico Premium",image component recomendado-ocaciones-8-800x80056.png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/X5vb-hPGYyyFvhmZkDhZeg/rZ7NfjTgFgmxFcatrwSN-qDE3UfiIlAavj-CtKaY0Re3bVfc-_0OcprJqffG7kdsHl45MaFScl3tyjNT2FXD5TmUPaidUMz0FauQVw9THU1RRbi7vOmAbonHTTd3p6PMlThVQyXTWwro7TuwpBpjLKl7pqcPVA4eBoQCgO4g0PSLnykswysjnzeLy9sckMEdFLXjyxiNAVPWQAk4iEd2vA/J8CPeactvMRFdHvdcY38RGA_sU3CrHDr89iBSsEgkZw)
🧩 Esencial Pro,"STAN-1.1,BB-H36380,TX-145",30,"El kit Esencial Pro es una cuidada selección de artículos diseñados para ofrecer una experiencia completa desde el primer día. Ideal para programas de onboarding, reconocimientos o regalos corporativos premium, combina diseño moderno con practicidad para acompañar a cada persona en su día a día profesional.
Incluye:
Termo de Viaje 40oz
Audífonos Inalámbricos Billboard Unite
Backpack Ejecutiva con Puerto USB",image component recomendado-ocaciones-8-800x80058.png (https://v5.airtableusercontent.com/v3/u/42/42/1749852000000/JCcTwBE_rwx8A3BR-yibpQ/61ZWT21FOwSeGyRpNXZdptxxX971XONDHk6U_9kKyEZ8DtEuHqOso5A3YFrIX5Rhn3ldBEOTj3Sx0WQQtbYqLZ6hW0rZojt8MU7aG4PZwse4HUwYyOQDKLMvP41uehWy0H2p8UFC99j5AHdQypy0AF1qthc4x-TyHSWSKNJhGLFxagsxAiDxCVfBYjnvgOGBomjC4s_i4R7TVkUJS7_60A/LpOCrjXi2V9JOcplTlpGpRWSheYqmXFQGaQZoXbpQhg)
